n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.84,25.0,21
3,1.32,25.0,33
4,3.12,25.0,78
5,3.32,25.0,83
6,3.52,25.0,88
7,5.12,25.0,128
8,6.6,25.0,165
9,6.64,25.0,166
10,8.96,25.0,224
11,10.24,25.0,256
12,12.0,25.0,300
13,15.24,25.0,381
14,15.36,25.0,384
15,16.92,25.0,423
16,19.96,25.0,499
17,20.48,25.0,512
18,22.48,25.0,562
19,24.44,25.0,611
20,25.44,25.0,636
21,25.6,25.0,640
22,26.72,25.0,668
23,28.32,25.0,708
24,30.72,25.0,768
25,34.32,25.0,858
26,35.84,25.0,896
27,36.72,25.0,918
28,39.64,25.0,991
29,40.56,25.0,1014
30,40.96,25.0,1024
31,43.32,25.0,1083
32,45.32,25.0,1133
33,46.08,25.0,1152
34,47.44,25.0,1186
35,51.2,25.0,1280
36,56.32,25.0,1408
37,56.36,25.0,1409
38,61.44,25.0,1536
39,63.32,25.0,1583
40,66.56,25.0,1664
41,70.24,25.0,1755
42,71.68,25.0,1792
43,72.16,25.0,1804
44,75.4,25.0,1885
45,76.8,25.0,1920
46,80.04,25.0,2001
47,81.92,25.0,2048
48,85.52,25.0,2138
49,87.04,25.0,2176
50,88.08,25.0,2202
51,89.96,25.0,2249
52,92.16,25.0,2304
53,92.64,25.0,2316
54,94.44,25.0,2361
55,97.28,25.0,2432
56,98.92,25.0,2473
57,102.4,25.0,2560
58,103.68,25.0,2592
59,107.2,25.0,2680
60,107.52,25.0,2688
61,110.24,25.0,2756
62,111.8,25.0,2795
63,112.64,25.0,2816
64,114.8,25.0,2870
65,117.24,25.0,2931
66,117.76,25.0,2944
67,119.96,25.0,2999
68,122.72,25.0,3068
69,122.88,25.0,3072
70,126.52,25.0,3163
71,128.0,25.0,3200
72,129.12,25.0,3228
73,133.12,25.0,3328
74,135.88,25.0,3397
75,138.08,25.0,3452
76,138.24,25.0,3456
77,139.92,25.0,3497
78,141.12,25.0,3528
79,142.08,25.0,3552
80,143.16,25.0,3579
81,143.36,25.0,3584
82,145.76,25.0,3644
83,147.92,25.0,3697
84,148.48,25.0,3711
85,149.68,25.0,3742
86,151.8,25.0,3795
87,153.6,25.0,3840
88,153.76,25.0,3844
89,155.24,25.0,3881
90,158.52,25.0,3963
91,158.72,25.0,3968
92,161.32,25.0,4033
93,163.84,25.0,4096
94,164.16,25.0,4104
95,168.48,25.0,4212
96,168.96,25.0,4224
97,169.72,25.0,4243
98,174.08,25.0,4352
99,174.48,25.0,4362
100,175.52,25.0,4388
101,177.48,25.0,4437
102,178.48,25.0,4462
103,179.2,25.0,4480
104,180.32,25.0,4508
105,183.2,25.0,4580
106,184.32,25.0,4608
107,187.04,25.0,4676
108,188.84,25.0,4721
109,189.44,25.0,4736
110,190.12,25.0,4753
111,193.08,25.0,4827
112,194.2,25.0,4855
113,194.56,25.0,4864
114,196.12,25.0,4903
115,199.36,25.0,4984
116,199.68,25.0,4992
117,202.08,25.0,5052
118,203.88,25.0,5097
119,204.8,25.0,5120
120,206.52,25.0,5163
121,209.56,25.0,5239
122,209.92,25.0,5248
123,211.84,25.0,5296
124,213.32,25.0,5333
125,215.04,25.0,5376
126,215.16,25.0,5379
127,218.52,25.0,5463
128,220.16,25.0,5504
129,221.48,25.0,5537
130,224.6,25.0,5615
131,225.28,25.0,5632
132,227.8,25.0,5695
133,229.44,25.0,5736
134,230.4,25.0,5760
135,234.2,25.0,5855
136,235.52,25.0,5888
137,239.52,25.0,5988
138,240.64,25.0,6016
139,242.44,25.0,6061
140,245.76,25.0,6144
141,246.92,25.0,6173
142,249.84,25.0,6246
143,250.88,25.0,6272
144,254.64,25.0,6366
145,256.0,25.0,6400
146,260.52,25.0,6513
147,261.12,25.0,6528
148,262.52,25.0,6563
149,264.08,25.0,6602
150,266.24,25.0,6656
151,266.72,25.0,6668
152,271.36,25.0,6784
153,272.84,25.0,6820
154,275.04,25.0,6876
155,276.48,25.0,6912
156,279.88,25.0,6997
157,281.6,25.0,7040
158,285.8,25.0,7145
159,286.72,25.0,7168
160,291.84,25.0,7295
161,292.0,25.0,7300
162,296.96,25.0,7423
163,298.08,25.0,7452
164,302.08,25.0,7552
165,303.56,25.0,7589
166,307.2,25.0,7680
167,310.96,25.0,7773
168,312.32,25.0,7808
169,317.44,25.0,7936
170,322.56,25.0,8064
